customer_id,query,category
353,"Is there a way to cancel a specific subscription item?",cancellation
354,"My order was canceled and I want to know why.",cancellation
355,"I want to cancel a single item in a bundle.",cancellation
356,"How do I stop my subscription renewal?",cancellation
357,"Can I cancel an order that is on hold?",cancellation
358,"I need to cancel a service and get a prorated refund.",cancellation
359,"What happens to my payment if I cancel an order?",cancellation
360,"I want to cancel an order from an old purchase.",cancellation
361,"Can I cancel my membership?",cancellation
362,"How do I cancel a subscription for another person?",cancellation
363,"I need to cancel a reservation I made.",cancellation
364,"The cancellation process on the app is not working.",cancellation
365,"Can I cancel a product that is not yet released?",cancellation
366,"I need to cancel a recurring order.",cancellation
367,"How do I remove an item from my subscription?",cancellation
368,"What is the penalty for canceling an order?",cancellation
369,"I want to cancel an order that I placed with a discount code.",cancellation
370,"How do I cancel a product I received as a gift?",cancellation
371,"Can I get a refund if I cancel my order in time?",cancellation
372,"The item I ordered has a long delay, I want to cancel.",cancellation
373,"My credit card was charged for a subscription I canceled.",cancellation
374,"How do I cancel a service without losing my data?",cancellation
375,"I need to cancel an order with a pending payment.",cancellation
376,"How do I go about cancelling my order?",cancellation
377,"I want to cancel an order with an exchange.",cancellation
378,"Can I cancel a digital download?",cancellation
379,"The order was placed by a family member, I need to cancel it.",cancellation
380,"How do I cancel a product from a special offer?",cancellation
381,"I need to cancel an item and get a replacement.",cancellation
382,"What is the policy for subscription cancellation?",cancellation
383,"How do I cancel my order before it ships?",cancellation
384,"I want to cancel a pre-ordered game.",cancellation
385,"The item I ordered is out of stock, I want to cancel.",cancellation
386,"Can I cancel my order after it has been shipped?",cancellation
387,"How do I cancel a service and get a full refund?",cancellation
388,"I need to cancel an item that is part of a bundle.",cancellation
389,"What is the policy for cancellation of digital products?",cancellation
390,"I want to cancel an order and place a new one.",cancellation
391,"How can I cancel a subscription on my account?",cancellation
392,"The website is not letting me cancel my order.",cancellation
393,"Can I cancel a backordered item before it ships?",cancellation
394,"I want to cancel a product I no longer need.",cancellation
395,"How do I cancel an order that has not been confirmed?",cancellation
396,"What are the cancellation steps for a recurring order?",cancellation
397,"I need to cancel my subscription and get a refund for the last month.",cancellation
398,"Can I cancel a service that is currently active?",cancellation
399,"I want to cancel a product that was a gift.",cancellation
400,"How do I cancel a purchase I made using a gift card?",cancellation
401,"I am looking for your return policy, where can I find it?",return
402,"The item I received is not working, can I get a replacement?",return
403,"I want to return an item, but the box is damaged.",return
404,"My package was delayed, can I get a shipping refund?",shipping
405,"I need to track my order, where can I find the tracking number?",shipping
406,"Can I change the shipping address after my order has shipped?",shipping
407,"What are the terms of my warranty?",warranty
408,"I have a question about submitting a warranty claim.",warranty
409,"My product is not functioning, is it covered under warranty?",warranty
410,"How do I cancel an order that is on backorder?",cancellation
411,"The cancellation button is not working, can you help me?",cancellation
412,"How do I get a refund for a canceled order?",cancellation
413,"Where can I find the serial number of my product for a warranty claim?",warranty
414,"What is the status of my return?",return
415,"I want to return a product, but I have used it once.",return
416,"Can I cancel my subscription on my account?",cancellation
417,"I need to know the shipping time to my location.",shipping
418,"My package says it's delivered, but I have not received it.",shipping
419,"What is the warranty coverage for this product?",warranty
420,"I want to cancel an order from last week.",cancellation
421,"I need to return an item, how do I start the process?",return
422,"My order is late, can I get a shipping refund?",shipping
423,"What is the warranty on a refurbished item?",warranty
424,"Can I cancel my subscription through a phone call?",cancellation
425,"I have a question about my order's delivery date.",shipping
426,"I need to know the process for filing a warranty claim.",warranty
427,"I want to return a product, what are the next steps?",return
428,"My delivery was delayed, can I get a refund?",shipping
429,"I need to cancel my monthly service.",cancellation
430,"The return form is not loading, can you help?",return
431,"I need to know the warranty details for my product.",warranty
432,"How do I get a new tracking number?",shipping
433,"What is your policy for returning a gift?",return
434,"What is the deadline for canceling an order?",cancellation
435,"I need to submit a claim for my warranty.",warranty
436,"My shipment is lost, what should I do?",shipping
437,"Can I get a replacement under warranty?",warranty
438,"How do I get a refund for a canceled subscription?",cancellation
439,"I want to return an item without the original packaging.",return
440,"The tracking number I received is not working.",shipping
441,"What is the cost of shipping to my address?",shipping
442,"The item I received is broken, can I get a new one under warranty?",warranty
443,"How do I cancel my subscription renewal?",cancellation
444,"My refund for a return has not been processed.",return
445,"I want to cancel my purchase, but the order has already shipped.",cancellation
446,"I need to know the status of my order.",shipping
447,"Is there a warranty on replacement parts?",warranty
448,"Can I get an exchange instead of a refund?",return
449,"The item I returned was lost, what can I do?",return
450,"How long does it take to process a warranty claim?",warranty
451,"My package is stuck in customs, can you help?",shipping
452,"Can I cancel a single item from my order?",cancellation
453,"I have not received my order, where is it?",shipping
454,"What are the steps to return a product?",return
455,"How can I get a refund on a shipping fee?",shipping
456,"The warranty on my product has expired.",warranty
457,"I received a duplicate order, I want to cancel the second one.",cancellation
458,"Can I get a new return label?",return
459,"Is there a fee for canceling an order after it has shipped?",cancellation
460,"How long is the return window?",return
461,"My package arrived with an item missing, what can I do?",shipping
462,"The warranty on my product does not cover this issue.",warranty
463,"I need to cancel my order, but the website is not responding.",cancellation
464,"How do I return a digital product?",return
465,"My product broke, is it covered under warranty?",warranty
466,"How long does it take for an exchange to be processed?",return
467,"I need to cancel an order that is on hold.",cancellation
468,"What's the best way to ship a return?",return
469,"Can I get a replacement if my product fails under warranty?",warranty
470,"I want to cancel my subscription and get a refund for the current month.",cancellation
471,"How can I cancel a part of my order?",cancellation
472,"The tracking number I received is incorrect.",shipping
473,"I need to return an item, but the box is missing.",return
474,"Can I get a refund for a gift card I used on a purchase?",cancellation
475,"My order was shipped to the wrong address, can you help?",shipping
476,"How do I register my product for warranty online?",warranty
477,"I need to cancel my pre-order, is that possible?",cancellation
478,"My order has not shipped, can I cancel it?",cancellation
479,"What is the warranty policy on your products?",warranty
480,"Can I get a shipping refund for a delayed order?",shipping
481,"I want to return a product that I bought during a sale.",return
482,"The item I need to return has a unique return process.",return
483,"My product is not working, can I file a warranty claim?",warranty
484,"I need to cancel my order from yesterday.",cancellation
485,"How can I get a replacement for a defective item under warranty?",warranty
486,"What is your return policy for special edition items?",return
487,"My package is lost, can you send a new one?",shipping
488,"I need to cancel a recurring charge on my account.",cancellation
489,"I received a damaged item, I want to return it.",return
490,"What is your policy for international shipping?",shipping
491,"How do I submit a warranty claim online?",warranty
492,"Can I get an in-store credit instead of a refund for a return?",return
493,"The item I received is not what I expected, I want to return it.",return
494,"I need to cancel a product that is currently on backorder.",cancellation
495,"What are the steps to return an unwanted item?",return
496,"My order has been delayed, can I get an update on shipping?",shipping
497,"How do I track my order once it has shipped?",shipping
498,"I have a question about the warranty on my device.",warranty
499,"Can I cancel a single item from my order after it has shipped?",cancellation
500,"I need to return an item, how do I get a new label?",return
501,"What is the cancellation policy on pre-orders?",cancellation
502,"Can you tell me the process for a product return?",return
503,"I want to know if my product is covered by warranty.",warranty
504,"My package is delayed, can I get a refund on shipping?",shipping
505,"Is there a warranty for a refurbished product?",warranty
506,"How do I cancel my order before it ships?",cancellation
507,"The item I ordered is the wrong size, I want to return it.",return
508,"I need to submit a claim for a defective item.",warranty
509,"Where is my order being shipped from?",shipping
510,"Can I change the delivery address for my package?",shipping
511,"I want to cancel an order that is on hold.",cancellation
512,"I need to know the status of my return, it's been a week.",return
513,"The tracking information says my package is at a local post office, what should I do?",shipping
514,"How do I cancel my subscription online?",cancellation
515,"My refund for a return is still pending.",return
516,"Is the product I received covered by a warranty?",warranty
517,"I need to cancel an item that is part of a bundle.",cancellation
518,"My package was delivered to the wrong address, can you help?",shipping
519,"What is the warranty for a digital product?",warranty
520,"How do I cancel a recurring payment on my account?",cancellation
521,"I need to return an item, but the box is opened.",return
522,"Can I get a new product under warranty?",warranty
523,"My order was a gift, and I need to return it.",return
524,"I want to cancel a service I signed up for.",cancellation
525,"How can I get a replacement for a broken item under warranty?",warranty
526,"How long do I have to return a product?",return
527,"The item I received is damaged, can I get a shipping refund?",shipping
528,"I need to know the terms for a warranty claim.",warranty
529,"Can you tell me the steps for cancelling a purchase?",cancellation
530,"My tracking number is not working, what should I do?",shipping
531,"The item I received is not what I expected, I want to return it.",return
532,"How do I find my warranty information?",warranty
533,"I need to cancel a product I don't want anymore.",cancellation
534,"What is your policy for shipping to another country?",shipping
535,"Can I return an item after the return window has closed?",return
536,"My order has been on hold for a long time, I want to cancel it.",cancellation
537,"The item I bought came with a two-year warranty.",warranty
538,"How do I get a new return label from my account?",return
539,"Can I cancel a single item from my order after it has shipped?",cancellation
540,"I need to return a product that is not working.",return
541,"My product is making a weird noise, is it a warranty issue?",warranty
542,"I want to cancel my account, how can I do that?",cancellation
543,"The tracking on my order is stuck, can you help?",shipping
544,"I need to return an item, but I've lost the invoice.",return
545,"How do I get a copy of my original receipt for a warranty claim?",warranty
546,"I need to cancel an order that was placed by mistake.",cancellation
547,"The shipping fee on my order seems incorrect.",shipping
548,"What is the process for an exchange, not a refund?",return
549,"I have a question about the warranty on a bundle I bought.",warranty
550,"How long does it take for a refund to be processed?",return
